Nodes,size_SCC,size_WCC,mean_dist,diameter,clustering_global,degree_assortativity,density,Normal,Week
1848,1616,1848,5.868409309576613e-6,1.0688781854528706e-4,0.28716472085262235,0.09920705756029384,0.020091373163923246,weight_sum,2021-01-18
1848,1616,1848,0.004734362951377294,0.08623218003045086,0.28716472085262235,0.09920705756029384,0.020091373163923246,weight_max,2021-01-18
1849,1625,1849,193.3776951397016,5045.338025750983,0.2907468612454961,0.09820940645363245,0.02046677857927182,totalVisits,2021-01-25
1849,1625,1849,0.009732484311497779,0.07930038108041626,0.2907468612454961,0.09820940645363245,0.02046677857927182,weight_inv,2021-01-25
1849,1625,1849,0.003992925079679224,0.11731600385320307,0.2907468612454961,0.09820940645363245,0.02046677857927182,weight_range,2021-01-25
1849,1625,1849,5.550754442062683e-6,1.448224545128607e-4,0.2907468612454961,0.09820940645363245,0.02046677857927182,weight_sum,2021-01-25
1849,1625,1849,0.004524982518988775,0.11805946054131122,0.2907468612454961,0.09820940645363245,0.02046677857927182,weight_max,2021-01-25
1847,1612,1847,204.72527919636738,9385.665484872303,0.3039026255616872,0.1269384862736559,0.020380623669550516,totalVisits,2021-02-01
1847,1612,1847,0.009401165930431846,0.11704111939178796,0.3039026255616872,0.1269384862736559,0.020380623669550516,weight_inv,2021-02-01
1847,1612,1847,0.0030309774927185945,0.15556517208462428,0.3039026255616872,0.1269384862736559,0.020380623669550516,weight_range,2021-02-01
1847,1612,1847,5.607683695729467e-6,2.5708521937084505e-4,0.3039026255616872,0.1269384862736559,0.020380623669550516,weight_sum,2021-02-01
1847,1612,1847,0.003401844864439283,0.15595816039125743,0.3039026255616872,0.1269384862736559,0.020380623669550516,weight_max,2021-02-01
1850,1578,1850,220.81871141501946,2647.2804718680045,0.29665876597856533,0.10872426260806835,0.017823220732901643,totalVisits,2021-02-08
1850,1578,1850,0.009888062692246707,0.1895329887904138,0.29665876597856533,0.10872426260806835,0.017823220732901643,weight_inv,2021-02-08
1850,1578,1850,0.004489051467501122,0.058350323124303216,0.29665876597856533,0.10872426260806835,0.017823220732901643,weight_range,2021-02-08
1850,1578,1850,6.581891013135814e-6,7.890686181144524e-5,0.29665876597856533,0.10872426260806835,0.017823220732901643,weight_sum,2021-02-08
1850,1578,1850,0.004925669676750733,0.05905128719651587,0.29665876597856533,0.10872426260806835,0.017823220732901643,weight_max,2021-02-08
1844,1589,1844,212.9842210489765,1935.6566181192804,0.2857417855463951,0.0958781161285616,0.016129801100017303,totalVisits,2021-02-15
1844,1589,1844,0.01177223830531399,0.21551133660460398,0.2857417855463951,0.0958781161285616,0.016129801100017303,weight_inv,2021-02-15
1844,1589,1844,0.004327182964271842,0.04299667507074423,0.2857417855463951,0.0958781161285616,0.016129801100017303,weight_range,2021-02-15
1844,1589,1844,7.860714790437757e-6,7.144024347138789e-5,0.2857417855463951,0.0958781161285616,0.016129801100017303,weight_sum,2021-02-15
1844,1589,1844,0.004794325846295482,0.043572094252313454,0.2857417855463951,0.0958781161285616,0.016129801100017303,weight_max,2021-02-15
1850,1621,1850,200.4108124668658,4633.331360323778,0.2952159784440087,0.12049963843854887,0.022117726163156125,totalVisits,2021-02-22
1850,1621,1850,0.009005887833226697,0.1408670248469297,0.2952159784440087,0.12049963843854887,0.022117726163156125,weight_inv,2021-02-22
1850,1621,1850,0.003336438999595377,0.08716361516182292,0.2952159784440087,0.12049963843854887,0.022117726163156125,weight_range,2021-02-22
1850,1621,1850,4.780352022369613e-6,1.1051776431614257e-4,0.2952159784440087,0.12049963843854887,0.022117726163156125,weight_sum,2021-02-22
1850,1621,1850,0.003792208484674457,0.08767270727888077,0.2952159784440087,0.12049963843854887,0.022117726163156125,weight_max,2021-02-22
1851,1620,1851,195.18409350000022,3003.8967678826893,0.2969501383694323,0.12268936164326062,0.022534495597704672,totalVisits,2021-03-01
1851,1620,1851,0.008848553289708542,0.12789482762540616,0.2969501383694323,0.12268936164326062,0.022534495597704672,weight_inv,2021-03-01
1851,1620,1851,0.003100048000445645,0.053017652343328336,0.2969501383694323,0.12268936164326062,0.022534495597704672,weight_range,2021-03-01
1851,1620,1851,4.565125726790451e-6,7.025760229595335e-5,0.2969501383694323,0.12268936164326062,0.022534495597704672,weight_sum,2021-03-01
1851,1620,1851,0.0034953859799352434,0.05379423322542154,0.2969501383694323,0.12268936164326062,0.022534495597704672,weight_max,2021-03-01
1849,1630,1849,183.94756150487785,12848.437929676973,0.2580546623522696,0.07204147432091142,0.025335152498484028,totalVisits,2021-03-08
1849,1630,1849,0.00873784461857198,0.153059846209751,0.2580546623522696,0.07204147432091142,0.025335152498484028,weight_inv,2021-03-08
1849,1630,1849,0.0029881365360112837,0.23320415162506736,0.2580546623522696,0.07204147432091142,0.025335152498484028,weight_range,2021-03-08
